study inf_ncase inf_ncontrol sev_ncase sev_ncontrol nonsev_ncase nonsev_ncontrol
23ANDME_AFR 506 3110 0 0 506 3110
23ANDME_EUR 9913 85072 613 680416 9300 85072
23ANDME_HIS 2553 13086 140 94327 2413 13086
Amsterdam_UMC_COVID_study_group_EUR 108 1413 108 1413 0 1413
ANCESTRY_Freeze_Four_AFR 1629 5688 135 5688 1494 5688
ANCESTRY_Freeze_Four_AMR 3752 12323 199 12323 3553 12323
ANCESTRY_Freeze_Four_EAS 120 570 0 0 120 570
ANCESTRY_Freeze_Four_EUR 25353 113882 1484 113882 23869 113882
BelCovid_EUR 488 1477 367 1477 121 1477
BQC19_EUR 477 431 378 530 99 431
BRACOVID_AMR 853 835 853 835 0 835
CHULACOVID_EAS 137 326 137 326 0 326
Corea_EAS 108 6500 69 6500 39 6500
CU_AFR 332 2610 304 2610 28 2610
CU_EUR 508 2149 453 2149 55 2149
DECODE_EUR 4256 270934 89 274322 4167 270934
Egypt_hgCOVID_hub_AFR 167 180 167 180 0 180
EstBB_EUR 4070 189406 352 196455 3718 189406
FinnGen_FIN 2695 278193 273 278193 2422 278193
GENCOVID_EUR 1697 2443 1287 2443 410 2443
Generation_Scotland_EUR 1712 17525 554 18683 1158 17525
Genetics_COVID19_Korea_EAS 624 6549 624 6549 0 6549
genomicc_EAS 149 745 149 745 0 745
genomicc_EUR 1676 8380 1676 8380 0 8380
GHS_Freeze_145_AFR 128 3050 0 0 128 3050
GHS_Freeze_145_AMR 88 1307 0 0 88 1307
GHS_Freeze_145_EUR 5276 108168 773 108168 4503 108168
GNH_SAS 5151 29013 339 33825 4812 29013
HOSTAGE_EUR 3151 12483 3151 12483 0 12483
idipaz24genetics_EUR 106 75 106 75 0 75
INMUNGEN_CoV2_EUR 236 654 236 654 0 654
JapanTaskForce_EAS 614 1705 572 1705 42 1705
LGDB_EUR 275 1313 57 1531 218 1313
MVP_AFR 4893 94556 1300 98129 3593 94556
MVP_AMR 2497 41100 517 43062 1980 41100
MVP_EUR 11778 357198 2417 366449 9361 357198
PMBB_AFR 379 8298 126 8551 253 8298
PMBB_EUR 60 9702 0 0 60 9702
QGP_ARAB 700 13360 60 13360 640 13360
SaudiHumanGenomeProgram_ARAB 147 768 147 768 0 768
SPGRX_EUR 362 302 311 302 51 302
SweCovid_EUR 113 3748 113 3748 0 3748
UKBB_AFR 426 6210 101 6535 325 6210
UKBB_AMR 51 929 0 0 51 929
UKBB_CSA 695 8181 126 8750 569 8181
UKBB_EAS 104 2605 0 0 104 2605
UKBB_EUR 13256 407275 3067 417464 10189 407275
UKBB_MID 89 1510 0 0 89 1510
Vanda_EUR 58 900 58 900 0 900
